昵称,点赞数,时间,评论
锤哥,0,2024/7/17 12:58,想过没有？没有政府批准百度再牛逼也不能运营。
不打广告,0,2024/7/17 12:57,作为消费者我支持无人驾驶，现在打车都高到3元+一公里了，谁便宜，谁给消费者更优惠就支持谁，建议取消网约车平台抽成
用户7748364442688,0,2024/7/17 12:56,如果被黑客黑了，控制摄像头收集军事基地，怕怕
佐罗的舅舅,0,2024/7/17 12:50,在我们这种不喜欢使用计价器的出租车大量存在的城市，支持使用萝卜快跑
泰坦老田,0,2024/7/17 12:48,现在的风向很矛盾，人工智能全面替代人类工作。一方面让大家多生孩子[捂脸]尤其是根本不需要那么多人
_1cm_,0,2024/7/17 12:47,@_6cm_ @?????????? @_6cm_ @_ 3cm _ @777777777 @小猫咪???? @十亿... @Darling02 味觉饭碗没了[捂脸][OK]
我OUT了,0,2024/7/17 12:46,让子弹飞一会儿再说吧
熊咩咩,0,2024/7/17 12:41,很多人不知道，其中的影响，怕的是资本不安好心，你们认真想想，无人驾驶取代的基层的1000万网约车司机，这是什么概念？！不安好心的资本会利用“光脚不怕穿鞋的”会利用“星星之火…”这会造成什么？你们再认真想想，不要以为关系不到自己，再认真想想，1000万个司机就是1000万个家庭，这不是个别家庭，是社会群体，现在后怕不？应该考虑清楚，有很多解决方案，降低无人驾驶的占比，不影响基层劳动就业的前提下投放。
无产阶级创业者,0,2024/7/17 12:40,别慌兄弟们，想想共享单车
豌豆儿??,0,2024/7/17 12:29,资本盯上了打工人的饭碗
坐等云起,0,2024/7/17 12:26,应该是政策先考虑好，怎么样合理安排好所有司机的转业。有能力可以多方受利，科技没有错。
???????持之以恒???,0,2024/7/17 12:18,这样下去以后犯法的人越来越多，监狱里面不愁吃不愁穿[捂脸][捂脸][捂脸][捂脸]
小龙龙,0,2024/7/17 12:16,因为他庞大啊、1000万出租车的挣到钱
F.N.O.,0,2024/7/17 12:15,是坏，探讨A跟你讲B，讲理耍赖，论证则抢道德制高点，所以不要想讲通所有人，取舍
赵先生(^.^),0,2024/7/17 12:10,无知
养玉楼水饺馄饨,0,2024/7/17 12:06,热烈欢迎无人耕种走进农村，我这个农民愿意失业。
小跳马,0,2024/7/17 12:04,是好几千万
小马男装批发,0,2024/7/17 11:59,大实话[赞][赞][赞]  科技发展 就是盯上老百姓，，，
??风雨无阻??,0,2024/7/17 11:58,小伙子说什么呢
杰瑞洛克,0,2024/7/17 11:56,大家发现没有今年的钱格外难赚
二胎时代,0,2024/7/17 11:53,另一个博主说为了抢特斯拉市场必须提前上市。否则又是落后挨打。
Aiv,0,2024/7/17 11:53,临时修路，这能识别到？
记录钰涵,0,2024/7/17 11:53,我30米大刀都抽 出来了
用户9424706453682,0,2024/7/17 11:51,资本与高层决定中国未来命运？
牙膏洗面奶,0,2024/7/17 11:41,能不能把英文换成中文呢？萝卜快跑？
量子??,0,2024/7/17 11:40,资本最终走向垄断
飘渺的尘埃,0,2024/7/17 11:37,无人驾驶怎么不去重庆那边，难道无人驾驶也怕在重庆迷路吗[捂脸][捂脸][捂脸]
没有口罩别摸我,0,2024/7/17 11:35,想想吧！自己打这种车你们的工作还能做多久
夜笙,0,2024/7/17 11:34,今天敢用无人出租车明天就敢用各种无人设备
??夏天的风,0,2024/7/17 11:31,本来养活千万家庭的行业，非得让资本巨头垄断了才好吗？良心哪去了！现在就业那么难还要让人大批量失业才甘心？
華歌～（…记忆清除…）,0,2024/7/17 11:25,快乱了…
朴子昂,0,2024/7/17 11:24,百度从始至终都是一个人血馒头公司
飞亨,0,2024/7/17 11:21,不先抢市场得到数据，等外来的狼过来？
几米的天空??,0,2024/7/17 11:16,听不懂
风生水起,0,2024/7/17 11:15,其实说白了就是资本在抽血
美国????陷阱,0,2024/7/17 11:01,这是时代必走之路
一辈子,0,2024/7/17 11:00,不能让资本家为所欲为
搬油工,0,2024/7/17 11:00,到时我就回家种田，自立更生
一颗大树,0,2024/7/17 10:57,最后一句话说的挺猛啊
舞女,0,2024/7/17 10:48,闹起来
??锅煲鲲??,0,2024/7/17 10:47,完全可以用于高危环境作业[看]下基层美其名曰采集信息积累经验[看]人血馒头太噎人，直接吃人就好了[看]
明轩,0,2024/7/17 10:40,一个人开私人车挣钱是黑车！！抓！一个开上万辆车扰乱市场合法！
狄永（深圳）硅胶制品,0,2024/7/17 10:37,马车司机都饿死了？
喵叽,0,2024/7/17 10:37,我朋友前天高铁坐过站，晚上很晚了，出了佛山西站就坐出租车去了5公里远的一个酒店，一下车结账，25，第二天坐网约车去车站，15[我想静静]
林海腾龙,0,2024/7/17 10:36,关乎民生的大事
无缘,0,2024/7/17 10:30,搞吧，到时候又一大批失业，社会不动荡才怪，
津日惠生活超市,0,2024/7/17 10:27,限制出租车增速  没人只能限购一辆还需摇号 公司做多10辆  直接解决问题
山东潍坊安丘的孙大叔,0,2024/7/17 10:21,白瞎小萝卜
拿好你的剧本,0,2024/7/17 10:20,就是想让你活不下去[捂脸]
不如前行！??,0,2024/7/17 10:18,如果创新的目的，是为少数人聚财，而必须剥夺大多数人的生存权利，这样的科技无异于更锋利恶魔屠刀！
慈心,0,2024/7/17 10:16,支持
独看夕阳??????,0,2024/7/17 10:15,家长知道吗[舔屏]
一個好人,0,2024/7/17 10:13,最后会出现罗卜贷。
内外架小梁??,0,2024/7/17 10:12,科技是用来服务人类而不是用来代替人类的
??????華壹?,0,2024/7/17 10:11,所以说发展到一定程度人类会毁灭
.村口你二哥,0,2024/7/17 10:02,喝多了直接吐??里面，
超哥摆地摊,0,2024/7/17 10:00,怒砸珍妮纺纱机了，阻碍了国家Ai发展的罪名你顶得住？
为,0,2024/7/17 9:58,还是真人安全[泪奔]
放飞梦想，，,0,2024/7/17 9:53,要面临失业了[流泪]
181293373,0,2024/7/17 9:44,农村很多学校小学校车都没配到有
桔梗不吃折耳根。,0,2024/7/17 9:42,有本事去造航母啊[看]
于飞,0,2024/7/17 9:40,你真是没心了
匆匆,0,2024/7/17 9:38,想想为什么很多发达国家为什么不支持网络购物呢？不支持线上付款呢？他们真的是研究不出来吗？
中华,0,2024/7/17 9:38,关键国家现在没有准许车辆无驾驶证行驶，而无人驾驶肯定就没有驾驶证了，他人都没有，怎么会有驾驶证？
贺先生 数??????,0,2024/7/17 9:31,政府为什么会批准。我想知道。
宏海,0,2024/7/17 9:31,可能事情没这么严重，东家不打打西家啊
50952900449,0,2024/7/17 9:28,优胜劣汰
六哥&老童,0,2024/7/17 9:22,这是我听过最有理最有说服力“代老百姓心声”
老实芭蕉王先生,0,2024/7/17 9:21,只能说国家发展太快了，我们需要背负太多，太难跟上这个速度了……
迷失的你,0,2024/7/17 9:17,还是中国人多[捂脸]
晴天。,0,2024/7/17 9:17,撑不住了犯罪率就会升高
襄县小波车业,0,2024/7/17 9:16,这样车祸是不是没有了？交警是不是也要下岗了[呲牙][呲牙][呲牙]
夏夏,0,2024/7/17 9:16,千万不要把收入流向到了资本家手里，应该回馈到老百姓手里
宇晗,0,2024/7/17 9:14,全国出租车司机挣的钱都被萝卜快跑一家公司给挣走了
单身流氓兔,0,2024/7/17 9:07,无人驾驶可以有，但是就怕最后是资本垄断！
紫气东来1,0,2024/7/17 9:05,就是人太多了
小财神??,0,2024/7/17 9:04,有一点背景的，，做什么事都可以
还好，有你在,0,2024/7/17 9:03,物经天择，此处不留爷，自有留爷处
叶子,0,2024/7/17 9:01,可怕
DV,0,2024/7/17 8:58,这就是让富裕的人更加富裕，让本来就拮据的人更加拮据
好日子,0,2024/7/17 8:58,你是站着不知道腰疼。
岩歌,0,2024/7/17 8:57,所有的廉价劳动力终究要被科技取代，要按照你这个逻辑，建筑行业也不要发展智能建筑了，国家也不要鼓励装配式了，否则农民工不也失业了吗？[呆无辜]
邯郸市永年区河北铺鼎标紧固件门市,0,2024/7/17 8:56,一个编织袋就停了，就问你敢座吗？
小撒旦,0,2024/7/17 8:56,无人驾驶创造的新岗位现在就已经有了……就你这样，还自称，记者……
Bill J,0,2024/7/17 8:55,你小子很懂流量[灵机一动]永远站在人多的一边[赞]
开放平台创始人,0,2024/7/17 8:53,这哪是人工智能！要这么说打游戏开挂也叫人工智能了。
用户8868263521045,0,2024/7/17 8:52,安全性要考虑好，一不小心车毁人亡
元善,0,2024/7/17 8:50,在讲的天花乱坠，还是说明你的认知有问题。你想过没有如果在明天绝大部分工作都被人工智能所替代了那么社会会变得怎么样？你觉得是好还是坏呢？
跟上节奏,0,2024/7/17 8:49,国情、盲目无人机器、要从历史长远看中国国情、中国国情不一定适用机器时代
用户6382570543392,0,2024/7/17 8:47,除了开出租车，其他就没有之外了吗？为什么不可以到工厂上班啊？为什么不能搞养殖业啊？
♂ 执 手 (☆_☆),0,2024/7/17 8:47,百度为了挣钱，毫无底线
叶小宝,0,2024/7/17 8:41,特定区域内还没成熟，就直接上马了，这抢钱的速度[赞]
抹茶味的猫咪～,0,2024/7/17 8:40,有一堆2000工资人员诞生
徐治辉,0,2024/7/17 8:37,搞资本的只会盯着基层人的饭碗，这不是高科技，是万恶的资本家
海,0,2024/7/17 8:30,都无人可以啥都干了，还生啥娃
王涛,0,2024/7/17 8:25,货车难道不是吗？各种各样的都有了半挂三桥车，9.8两桥车，哎！货##平台压价，不是照样存在了
半仙说茶,0,2024/7/17 8:25,为什么不上车牌？
手机用户62059422349,0,2024/7/17 8:24,你猜为啥古代会说“以人为本”[看]眼前看是可能闲散人越来越多 社会不稳定 往远了说 未来可能80%的机器提供20%国人生活60%被浪费这浪费的是国家资源 因为商人早在几十年前就赚的盆满钵满了[抠鼻]
杨阳洋(登船版),0,2024/7/17 8:10,先把太原的临县家二别块钱的黑心眼子取代了是正事
沉心静气,0,2024/7/17 8:07,儿歌拔萝卜
折耳根,0,2024/7/17 8:06,
??苏子叶,0,2024/7/17 8:05,技术是为商业服务的，不是为老百姓服务的，不赚钱怎么研究技术[看]
风花雪月风雨来,0,2024/7/17 8:03,如果没有利益，你觉得百度会花1500亿，耗时十几年去研究无人驾驶？别忘了他是个商人，美国还不是一样，先是民用公司搞研究，后再用于国防，都是国家搞，哪有那么多钱，那么多科研人员
木子丁,0,2024/7/17 8:01,和团菜一样，该叫停
铁杵,0,2024/7/17 8:00,李彦宏说会有更多的就业机会 我们可以去碰瓷萝卜快跑 其他的岗位好像不能要我
憨厚的花卷,0,2024/7/17 7:58,因为那一千万的师傅 中国就要按你的要求改变科技？
红涯凤云,0,2024/7/17 7:58,几个人富了，千万人没有没有饭吃了。
熊珍华,0,2024/7/17 7:57,[赞][赞][赞][赞][赞][赞][赞]
??蓝天秋水,0,2024/7/17 7:53,撞绿灯尾行人的那起事故难道还不能说明问题吗？
铁杵,0,2024/7/17 7:52,我觉得很多人在捣乱 他们都是敌对势力 很多很吓人
悦目娱心,0,2024/7/17 7:50,让子弹飞一会儿
海迪物流,0,2024/7/17 7:45,在资本面前无利不起早
我们的(^_^),0,2024/7/17 7:45,后患无穷.智能机器人都没搞明白还驾驶
高卢雄鸡,0,2024/7/17 7:42,成都欢迎无人网约车
累不累,0,2024/7/17 7:42,无人驾驶是方便别人，而不是干死老百姓
芬达有毒,0,2024/7/17 7:33,多好的技术。自动驾驶违法，无人驾驶合法，多好的体验[捂脸]
孔子变频,0,2024/7/17 7:30,万物都有它生存的道理，它不要社保，没有工商，又不闹事，而且24小时可以工作，你可以不？要反思自己，不要说别人
车厘子哥哥,0,2024/7/17 7:25,没有网络，啥都不是
凯里-欧文,0,2024/7/17 7:22,[赞][赞][赞]
快四十的小伙子,0,2024/7/17 7:21,垄断
羊山风景区,0,2024/7/17 7:18,高射炮打蚊子了
用户8779945094689,0,2024/7/17 7:18,这不都是国家提倡的吗，有什么好说的
公佳人,0,2024/7/17 7:16,从心冠开始，这几年老百姓过的太难了，国家.为稳，也不能在现在失业过高，来搞
xyz,0,2024/7/17 7:14,只是又有一批人急着想捞一笔罢了
雷多多,0,2024/7/17 7:10,你真的是没搞懂[抠鼻][抠鼻][抠鼻]
醉梦无殇,0,2024/7/17 7:10,设计研发 生产制造 运营维护 动态监管，一整条产业链都是高中低端都是有新增岗位的。科技进步是提供更多高薪岗位而取代了低端岗位。并且ai是取代不了所有岗位的，只能取代那些服务质量差的司机，服务好的司机可以转型去做专车等定制化服务，只为那些服务差的司机说话，那么服务好的司机是欠谁的，他们刨了别人祖坟了？？
青岩石子路,0,2024/7/17 6:55,突然没有网络还怎么玩
Avalon（伴读）,0,2024/7/17 6:38,可算找到薅流量的话题了[捂脸]
用户7354878563458,0,2024/7/17 6:31,对有两千多万人失业有多可怕[赞][赞][赞][赞][赞][赞]
米乐先生,0,2024/7/17 6:28,支持取消正能量发声
风中的蔷薇,0,2024/7/17 6:20,直接让中国无人吧
七佳玲,0,2024/7/17 6:13,建议用这种无人驾驶车去救火救灾最合适！
老胡,0,2024/7/17 6:10,要想活命只有来一次世界大战[大笑]
福州青口-程先生正宗福鼎肉片,0,2024/7/17 6:08,钱给工人赚，他们会去消费，从而带动经济，钱给资本赚，只会无限集资，再去垄断另一个行业，让越来越多的人失业。
基础人生,0,2024/7/17 6:04,
抖抖音,0,2024/7/17 6:01,科技是改善人类生活的，不是恶化人类生存环境的，无人机械是完成人类不能完成或不愿完成的精细、肮脏、危险等工作的，不是某些人打着产业升级的口号为一小撮人谋力利的。
小唐,0,2024/7/17 5:58,建议高层全部换成机器人，
老叶,0,2024/7/17 5:50,现在网约车市场乱象纵生，生意好的时候常拒载、拒绝预约很多，我遇到过多次，服务差，生意差时又到处抱怨
挥刀提笔战群狼,0,2024/7/17 5:40,有道理 。支持  只想用现金
大脚板,0,2024/7/17 5:39,无人驾驶这话题，已经被自媒体炒上天了，这群不是利益关系的人，都在为着流量，疯狂的蹭着！
人穷就要多读书,0,2024/7/17 5:34,现在服装鞋帽争等各种轻工业严重缺电机工，为什么智能化[泣不成声]
^_^,0,2024/7/17 5:01,对一个人的不公，就是对所有人的威胁[流泪]
叼根香烟吻你,0,2024/7/17 4:35,无人驾驶岀来也可以干一下网约车平台没有错，平台扣百分之三十，还有罚款[捂脸]
以大鸿辉子翰承先啟后,0,2024/7/17 4:25,花纸经济必将…[捂脸][捂脸][捂脸]实体经济才[赞][赞][赞]
